id,"type","manufacturer","model","code",engine_quantity,"engine_type","weight_class","descent_rate","service_ceiling","cruise_tas","created_at","updated_at"
568,"F","PIAGGIO","PORTOFINO P-166A ALBATRO","P66P",2,"P","S","1350","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
569,"F","PIAGGIO","P-166D","P66T",2,"T","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
570,"F","PIAGGIO","P-180 AVANTI","P180",2,"T","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
571,"F","PIAGGIO","PD-808","P808",2,"J","S","4000","3500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
572,"F","PILATUS","P2","PP2",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
573,"F","PILATUS","P3","PP3",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
574,"F","PILATUS","PC-6 PORTER","PC6P",1,"P","S","600","600","","0000-00-00 00:00:00","0000-00-00 00:00:00"
575,"F","PILATUS","PC-6A/B/C TURBO PORTER","PC6T",1,"T","S","1250","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
576,"F","PILATUS","PC-7 TURBO TRAINER","PC7",1,"T","S","2800","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
577,"F","PILATUS","PC-9 HUDURNIK","PC9",1,"T","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
578,"F","PILATUS","PC-12 EAGLE","PC12",1,"T","S","1900","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
579,"F","PIPER","AP-60 AEROSTAR","AEST",2,"P","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
580,"F","PIPER","J-2 CUB","J2",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
581,"F","PIPER","J-3 CUB","J3",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
582,"F","PIPER","J-4 CUB COUPE","J4",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
583,"F","PIPER","J-5 CUB CRUISER","J5",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
584,"F","PIPER","PA-11 CUB SPECIAL","PA11",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
585,"F","PIPER","PA-12 SUPER CRUISER","PA12",1,"P","S","600","600","","0000-00-00 00:00:00","0000-00-00 00:00:00"
586,"F","PIPER","PA-14 FAMILY CRUISER","PA14",1,"P","S","600","600","","0000-00-00 00:00:00","0000-00-00 00:00:00"
587,"F","PIPER","PA-15 VAGABOND","PA15",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
588,"F","PIPER","PA-16 CLIPPER","PA16",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
589,"F","PIPER","PA-17 VAGABOND","PA17",1,"P","S","500","500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
590,"F","PIPER","PA-18 SUPER CUB","PA18",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
591,"F","PIPER","PA-20 PACER","PA20",1,"P","S","850","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
592,"F","PIPER","PA-22 TRI PACER/CARIBBEAN","PA22",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
593,"F","PIPER","PA-23-150/160 APACHE","PA23",2,"P","S","1050","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
594,"F","PIPER","PA-24 COMMANCHE","PA24",1,"P","S","900","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
595,"F","PIPER","PA-25 PAWNEE","PA25",1,"P","S","650","650","","0000-00-00 00:00:00","0000-00-00 00:00:00"
596,"F","PIPER","PA-23-235/250 AZTEC","PA27",2,"P","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
597,"F","PIPER","PA-28 CHEROKEE ARCHER","PA28",1,"P","S","750","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
726,"F","TUPOLEV","TU-134","T134",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
725,"F","PIPER","PA-28 CHEROKEE ARCHER","P28A",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
724,"F","PIPER","PA-28R-201 ARROW","P28R",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
601,"F","PIPER","PA-30/39 TWIN COMMANCHE","PA20",2,"P","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
602,"F","PIPER","PA-31/31P NAVAJO CHIEFTAIN","PA31",2,"P","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
603,"F","PIPER","PA-32 SARATOGA","PA32",1,"P","S","850","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
604,"F","PIPER","PA-32R LANCE SARATOGA","PA32",1,"P","S","850","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
605,"F","PIPER","PA-32RT TURBO LANCE","PA32",1,"P","S","850","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
606,"F","PIPER","PA-34 SENECA","PA34",2,"P","S","1300","1300","","0000-00-00 00:00:00","0000-00-00 00:00:00"
607,"F","PIPER","PA-36 PAWNEE BRAVE","PA36",1,"P","S","800","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
608,"F","PIPER","PA-38 TOMAHAWK","PA38",1,"P","S","750","750","","0000-00-00 00:00:00","0000-00-00 00:00:00"
609,"F","PIPER","PA-44 SEMINOLE","PA44",2,"P","S","1100","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
610,"F","PIPER","PA-46-310/350P MALIBU MIRAGE","PA46",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
611,"F","PIPER","PA-46-500TP MALIBU MERIDIAN","P46T",1,"T","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
612,"F","PIPER","PA-31T3-500 T-140","PAT4",1,"P","S","1300","1200","","0000-00-00 00:00:00","0000-00-00 00:00:00"
613,"F","PIPER","PA-31T1-500 CHEYENNE 1","PAY1",2,"T","S","2200","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
614,"F","PIPER","PA-31T-620 CHEYENNE 2","PAY2",2,"T","S","2400","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
615,"F","PIPER","PA-42-720 CHEYENNE 3","PAY3",2,"T","S","2400","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
616,"F","PIPER","PA-42-1000 CHEYENNE 400","PAY4",2,"T","S","2500","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
617,"F","PIPER","PA-28R-300 PILLAN","PILL",1,"P","S","750","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
618,"F","PIPER","108 VOYAGER","S108",1,"P","S","800","800","","0000-00-00 00:00:00","0000-00-00 00:00:00"
619,"F","PITTS","S-1 SPECIAL","PTS1",1,"P","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
620,"F","PITTS","S-1-11 SUPER STINKER","PTSS",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
621,"F","PITTS","S-2 SPECIAL","PTS2",1,"P","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
622,"F","PITTS","S-12 MACHO STINKER","PTMS",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
623,"F","ROBIN","R-1180 AIGLON","R100",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
624,"F","ROBIN","R-2100/2112/2120/2160","R200",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
625,"F","ROBIN","R-300","R300",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
626,"H","ROBINSON","R22","R22",1,"P","S","800","800","","0000-00-00 00:00:00","0000-00-00 00:00:00"
627,"F","ROCKWELL","100 COMMANDER","VO10",1,"P","S","850","850","","0000-00-00 00:00:00","0000-00-00 00:00:00"
628,"F","ROCKWELL","112 COMMANDER","AC11",1,"P","S","1000","1200","","0000-00-00 00:00:00","0000-00-00 00:00:00"
629,"F","ROCKWELL","200 COMMANDER","M200",1,"P","S","1400","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
630,"F","ROCKWELL","500 SHRIKE COMMANDER","AC50",2,"P","S","1340","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
631,"F","ROCKWELL","COMMANDER 520","AC52",2,"P","S","1340","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
632,"F","ROCKWELL","560 COMMANDER","AC56",2,"P","S","1400","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
633,"F","ROCKWELL","680F/680FP COMMANDER","AC68",2,"P","S","1375","1375","","0000-00-00 00:00:00","0000-00-00 00:00:00"
634,"F","ROCKWELL","680FL GRAND COMMANDER","AC6L",2,"P","S","1250","1250","","0000-00-00 00:00:00","0000-00-00 00:00:00"
635,"F","ROCKWELL","720 ALTI-CRUISER","AC72",2,"P","S","1300","1300","","0000-00-00 00:00:00","0000-00-00 00:00:00"
636,"F","ROCKWELL","680T/680V TURBO COMMANDER","AC80",2,"T","S","2000","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
637,"F","ROCKWELL","690 TURBO COMMANDER","AC90",2,"T","S","2500","2500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
638,"F","ROCKWELL","695 JETPROP COMMANDER 980","AC95",2,"P","S","2500","2500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
639,"F","ROCKWELL","700/710 COMMANDER","RC70",2,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
640,"F","ROCKWELL","AC-130 SPECTRE","C130",4,"T","L","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
641,"F","ROCKWELL","B-1 LANCER","B1",4,"J","H","3000","5000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
642,"F","ROCKWELL","FR-06 FANRANGER","R2TH",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
643,"F","ROCKWELL","MITCHELL","B25",2,"P","L","980","980","","0000-00-00 00:00:00","0000-00-00 00:00:00"
644,"F","ROCKWELL","JET COMMANDER 1121","JCOM",2,"J","S","5000","4500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
645,"F","ROCKWELL","LARK 100 COMMANDER","LARK",1,"P","S","700","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
646,"F","ROCKWELL","NAVION NA 145/154","NAVI",1,"P","S","750","600","","0000-00-00 00:00:00","0000-00-00 00:00:00"
647,"F","ROCKWELL","MUSTANG","P51",1,"P","S","2500","2500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
648,"F","ROCKWELL","NA-265 SABRE","SBR1",2,"J","S","4000","3500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
649,"F","ROCKWELL","NA-265 SABRE","SBR2",2,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
650,"F","ROCKWELL","OV-10 BRONCO","V10",2,"T","S","2000","2500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
651,"F","ROCKWELL","S-2 THRUSH COMMANDER","SS2P",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
652,"F","ROCKWELL","F-100 SUPER SABRE","SSAB",1,"J","L","4000","4000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
653,"F","ROCKWELL","T-2 BUCKEYE","T2",2,"J","L","5700","6000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
654,"F","ROCKWELL","TROJAN/NOMAIR/NOMAD","T28",1,"P","S","2500","2500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
655,"F","ROCKWELL","T-6 TEXAN","T6",1,"P","S","800","800","","0000-00-00 00:00:00","0000-00-00 00:00:00"
656,"F","ROCKWELL","X-31","X31",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
657,"F","RUSCHMEYER","R-90-230FG","R90F",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
658,"F","RUSCHMEYER","R-90-230RG MF-85","R90R",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
659,"F","RUSCHMEYER","R-90-420AT","R90T",1,"T","S","1100","1100","","0000-00-00 00:00:00","0000-00-00 00:00:00"
660,"F","SAAB","29 (J29)","SB29",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
661,"F","SAAB","32 LANSEN","SB32",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
662,"F","SAAB","32 DRAKEN","SB35",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
663,"F","SAAB","37 VIGGEN","SB37",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
664,"F","SAAB","39 GRIPEN","SB39",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
665,"F","SAAB","91 SAFIR","SB91",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
666,"F","SAAB","105","SB05",2,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
667,"F","SAAB","340","SF34",2,"T","L","2000","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
668,"F","SAAB","2000","SB20",2,"T","L","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
669,"F","SAAB","MFI-15/17 SAFARI","MF17",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
670,"F","SHORTS","330 SHERPA","SH33",2,"T","S","1380","1380","","0000-00-00 00:00:00","0000-00-00 00:00:00"
671,"F","SHORTS","360 SD3-60","SH36",2,"T","S","1400","1400","","0000-00-00 00:00:00","0000-00-00 00:00:00"
672,"F","SHORTS","SC-5 BELFAST","BELF",4,"T","L","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
673,"F","SHORTS","SC7 SKYVAN/SKYLINER","SC7",2,"T","S","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
674,"F","SILVAIRE","8 SILVIAIRE","L8",1,"P","S","900","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
675,"F","STINSON","VOYAGER","S10",1,"P","S","750","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
676,"F","STINSON","108 VOYAGER","S108",1,"P","S","750","100","","0000-00-00 00:00:00","0000-00-00 00:00:00"
677,"F","STINSON","L-5 U-19 OY SENTENEL","L5",1,"P","S","750","750","","0000-00-00 00:00:00","0000-00-00 00:00:00"
678,"F","STINSON","SR V-77 RELIANT (AT-19)","RELI",1,"P","S","700","700","","0000-00-00 00:00:00","0000-00-00 00:00:00"
679,"H","SCHWEIZER","MODEL 269C/200/280","H269",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
680,"H","SCHWEIZER","269D/330/333","S330",1,"T","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
681,"H","SIKORSKY","BLACKHAWK","H60",2,"T","S","2000","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
682,"H","SIKORSKY","CHICKASAW","S55P",1,"P","S","800","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
683,"H","SIKORSKY","CHOCTAW/SEASHORE","S58P",1,"P","S","1120","1120","","0000-00-00 00:00:00","0000-00-00 00:00:00"
684,"H","SIKORSKY","MODEL S-51","S51",1,"P","L","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
685,"H","SIKORSKY","MODEL S-52 HUMMINGBIRD","S52",1,"P","L","950","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
686,"H","SIKORSKY","MODEL S-62","S62",1,"T","S","1020","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
687,"H","SIKORSKY","MODEL S-76 SPIRIT/EAGLE","S76",2,"T","S","1300","1300","","0000-00-00 00:00:00","0000-00-00 00:00:00"
688,"H","SIKORSKY","S-61R PELICAN","S61R",2,"T","L","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
689,"H","SIKORSKY","S-61A/B/D/L/N SEA-KING","S61",2,"T","L","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
690,"H","SIKORSKY","SEA STALLION S-65/YASUR","H53",2,"T","L","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
691,"H","SIKORSKY","SKYCRANE S-64E/F","S64",2,"T","L","1300","1300","","0000-00-00 00:00:00","0000-00-00 00:00:00"
692,"F","TAYLORCRAFT","15 TOURIST/FOURSOM","TA15",1,"P","S","800","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
693,"F","TAYLORCRAFT","19 SPORTSMAN","TF19",1,"P","S","800","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
694,"F","TAYLORCRAFT","20 RANCHWAGON","TA20",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
695,"F","TAYLORCRAFT","A","TAYA",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
696,"F","TAYLORCRAFT","ACE/SPORTSMAN/TRAVELLER","TAYB",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
697,"F","TAYLORCRAFT","DC/DCO/DF/DL","TAYD",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
698,"F","TAYLORCRAFT","F-21","TF21",1,"P","S","1100","1100","","0000-00-00 00:00:00","0000-00-00 00:00:00"
699,"F","TAYLORCRAFT","F-22 CLASSIC/TRI-CLASSIC","TF22",1,"P","S","875","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
700,"F","TED SMITH AERO","AERO STAR","AEST",2,"P","S","1800","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
701,"F","VFW-FOKKER","VFW 614","VF14",2,"J","L","3100","3000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
702,"F","VOUGHT","A-7 TA-7 CORSAIR","A7",1,"J","L","8000","6000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
703,"F","VOUGHT","SWIFT","GC1",1,"P","S","1000","1000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
704,"H","WESTLAND","WG30","WG30",2,"T","S","1200","1200","","0000-00-00 00:00:00","0000-00-00 00:00:00"
705,"F","YAKOVLEV","YAK-40","YK40",3,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
706,"F","ZENAIR","CH-600/601 ZODIAC","CH60",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
707,"F","ZENAIR","CH-620 GEMINI","CH62",2,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
708,"F","ZENAIR","CH-801 STOL","CH80",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
709,"F","ZENAIR","CH2000 ZENITH","CH2T",1,"P","S","780","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
710,"F","BOEING","747","B747",4,"J","L",NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
711,"F","AÉROSPATIALE-BAC","CONCORDE","CONC",4,"J","L",NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
712,"H","BELL TEXTRON","MODEL 412","B412",2,"T","S",NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
713,"F","CIRRUS","THE-JET","SRJT",1,"J","S",NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
714,"F","COLUMBIA","400","COL4",1,"P",NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
715,"F","DASSAULT AVIATION","Mercure","DA01",2,"J",NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
716,"F","Yakovlev","Yak-42","YK42",3,"J",NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
717,"F","TUPOLEV","TU-154","T154",3,"J","M",NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
718,"F","COLUMBIA","350","COL3",1,"P",NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
719,"F","AIRBUS","A380-800","A388",4,"J","H",NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
720,"F","ECLIPSE","500","EA50",2,"J",NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
721,"F","Cessna","Citation Excel","C56X",2,"J",NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
723,"F","CESSNA","510 CITATION MUSTANG","C510",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
727,"H","EUROCOPTER","EC-135","EC35",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
728,"H","AÉROSPATIALE","AS-365 DAUPHIN","AS65",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
729,"F","ANTONOV","AN-24","AN24",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
730,"F","ANTONOV","AN-225 MRYIA","A225",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
731,"F","NEIVA","UNIVERSAL","UNIV",0,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
732,"F","LET KUNOVICE","L-410 TURBOLET","L410",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
733,"F","PIPER","PA-30 TWIN COMANCHE","PA30",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
734,"F","MCDONNELL-DOUGLAS","MD-80","MD80",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
735,"F","EUROCOPTER","EC-120 COLIBRI","EC20",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
736,"F","AIRBUS","A330","A330",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
737,"F","AIRBUS","A340","A340",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
738,"F","BOEING","777","B777",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
739,"H","ROBIN","DR-400","DR40",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
740,"H","SIKORSKY","SUPER STALLION","H53S",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
741,"F","EUROFIGHTER","TYPHOON","EUFI",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
742,"","MBB/KAWASAKI","BK 117","BK17",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
743,"F","DORNIER","DO-27","DO27",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
744,"H","MIL","MI-8","MI8",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
745,"H","ROBINSON","R44","R44",0,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
746,"F","EMBRAER","EMB-314 SUPER TUCANO","E314",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
747,"F","ANTONOV","An-148","A148",2,"J",NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
748,"F","BOEING","777-200LR","B77L",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
749,"F","BOEING","777-300ER","B77W",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
750,"F","QUEST","Kodiak","KODI",1,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
751,"F","BEECH AIRCRAFT","Royal Turbine Duke","B60T",2,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
752,"F","Aerospool","WT-9 Dynamic","WT9",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
753,"H","MD Helicopters","Explorer","EXPL",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
754,"F","Tecnam","P2002 Sierra","SIRA",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
755,"F","LANCAIR","4","LNC4",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
756,"F","LANCAIR","Legacy 2000","LEG2",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
757,"F","LANCAIR","200/235/320/360","LNC2",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
758,"F","LANCAIR","ES","LNCE",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
759,"F","LANCAIR","Tigress","TGRS",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
760,"F","BOEING","377 STRATOCRUISER","B377",NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
761,"F","BOEING","747-8","B748",4,"J","H","3000","3000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
762,"F","CESSNA","162 Skycatcher","C162",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
763,"F","CSA","SportCruiser","CRUZ",1,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
764,"F","BOEING","777F","B77L",2,"J","H","2500",NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
